time_of_day,dte,strike_mode,adjustment_setting,wing,fill_package,n,mean,median,ci_lo,ci_hi,p5,worst,worst_date,sortino_per_cycle,mdd,surf_wing_pct
15:00,0,B40,none,4000,maker,375,0.053414,0.337350,-0.059697,0.163010,-1.964747,-6.462054,2026-02-27,0.058238,28.636945,38.13
13:00,0,B40,none,3000,taker,385,0.087949,0.435501,-0.097837,0.264894,-2.834221,-17.028744,2025-11-21,0.058179,29.621133,29.87
13:00,2,A100,none,OFF,taker,385,0.178001,0.901178,-0.164581,0.494522,-6.387614,-23.409750,2025-10-09,0.057996,63.410610,0.00
11:00,0,B30,none,1500,taker,381,0.077911,0.588080,-0.090554,0.243739,-4.045886,-5.544344,2025-10-26,0.057333,33.917013,10.76
15:00,0,B20,none,3000,taker,379,0.047630,0.321793,-0.054652,0.140172,-1.922766,-6.452798,2026-02-27,0.057032,25.685871,32.72
15:00,0,B15,none,1000,taker,386,0.038035,0.266664,-0.039940,0.110269,-1.580082,-3.754538,2025-08-07,0.056857,19.112897,5.18
13:00,0,B25,none,3000,taker,382,0.081676,0.472424,-0.089339,0.233012,-2.674706,-17.153980,2025-11-21,0.056846,23.546541,35.08
15:00,0,B25,none,3000,taker,381,0.051237,0.353659,-0.056191,0.154069,-1.975040,-6.452798,2026-02-27,0.056385,26.359218,28.87
13:00,2,A100,none,OFF,maker,385,0.172520,0.901178,-0.177083,0.489601,-6.389915,-23.409750,2025-10-09,0.056161,63.463471,0.00
11:00,2,A50,none,OFF,maker,380,0.166442,0.747786,-0.170454,0.472477,-5.347948,-23.467272,2025-10-09,0.055643,60.977942,0.00
11:00,0,B20,none,1000,taker,381,0.054816,0.517969,-0.064792,0.172879,-2.927866,-3.674842,2026-02-14,0.055497,26.611424,4.46
11:00,0,B30,none,2000,taker,380,0.080107,0.603384,-0.099244,0.248964,-4.120421,-6.408898,2026-03-04,0.055442,37.328553,16.84
13:00,0,B30,none,1000,maker,386,0.052141,0.375091,-0.065714,0.167413,-2.580212,-3.389980,2026-02-14,0.055353,19.970455,1.30
11:00,0,A150,none,1000,taker,377,0.056596,0.657101,-0.070020,0.179714,-2.918988,-3.299838,2025-07-22,0.054935,25.721534,3.98
15:00,0,B25,none,1500,maker,386,0.048425,0.346346,-0.058007,0.148539,-1.983826,-5.896636,2026-02-27,0.054874,25.699546,10.62
15:00,0,B25,none,2000,maker,385,0.048927,0.347841,-0.055681,0.150426,-1.988786,-6.460805,2026-02-27,0.054667,26.422505,15.84
13:00,0,B20,none,4000,taker,381,0.064104,0.435085,-0.073027,0.194475,-2.436659,-9.614891,2025-11-21,0.054307,24.343471,38.85
15:00,0,B30,none,3000,taker,381,0.052984,0.370898,-0.066011,0.165884,-1.966875,-7.199587,2025-12-29,0.054286,28.402383,29.40
15:00,0,A100,none,2000,taker,384,0.047635,0.452345,-0.057110,0.146640,-1.913340,-6.447383,2026-02-27,0.054220,24.334466,17.71
11:00,0,B25,none,1500,taker,381,0.070260,0.632306,-0.090573,0.219721,-3.668421,-5.544344,2025-10-26,0.052927,34.109810,12.34
15:00,0,B10,none,OFF,taker,386,0.034488,0.198451,-0.039100,0.100359,-1.089298,-5.969823,2026-02-27,0.052709,15.441855,0.00
11:00,0,A200,none,1500,taker,379,0.070164,0.655454,-0.094437,0.228996,-3.602567,-5.229184,2025-12-29,0.052284,36.108742,9.50
13:00,0,B20,none,1500,maker,386,0.056652,0.418847,-0.074355,0.177530,-2.485617,-5.953402,2025-11-21,0.051805,22.407943,11.92
11:00,0,B40,none,OFF,maker,381,0.087763,0.593874,-0.119713,0.292391,-4.313557,-11.289415,2025-11-21,0.051787,42.421592,0.00
15:00,0,B30,none,1000,maker,386,0.040727,0.351158,-0.056756,0.133441,-1.978127,-3.502467,2026-02-27,0.051505,22.169117,1.04
15:00,0,A100,none,OFF,maker,386,0.044958,0.424760,-0.058828,0.140337,-1.907736,-6.459972,2026-02-27,0.051291,23.980868,0.00
13:00,0,A150,none,1000,taker,386,0.052441,0.428688,-0.073054,0.173544,-2.734236,-10.239792,2025-11-21,0.050921,16.433880,1.81
13:00,0,B20,none,2000,maker,386,0.058490,0.430086,-0.077680,0.186900,-2.469179,-7.199415,2025-11-21,0.050829,24.166753,19.17
11:00,0,B25,none,2000,taker,380,0.071175,0.644268,-0.100154,0.234473,-3.661664,-6.945992,2025-10-17,0.050522,35.155032,17.11
11:00,0,B40,none,4000,taker,379,0.084662,0.604646,-0.123907,0.284635,-4.058588,-11.412044,2025-11-21,0.050340,41.422167,35.62
13:00,0,B20,none,1000,maker,386,0.049420,0.400170,-0.065169,0.159923,-2.527581,-9.125776,2025-11-21,0.050278,16.092934,2.59
13:00,0,B10,none,OFF,maker,386,0.045584,0.299114,-0.056528,0.139751,-1.821504,-5.788190,2025-10-01,0.050273,20.265806,0.00
11:00,2,A100,none,OFF,taker,380,0.154527,0.883709,-0.212569,0.484474,-6.515334,-23.371402,2025-10-09,0.048774,65.769980,0.00
11:00,0,A300,none,3000,taker,381,0.079104,0.648213,-0.122884,0.268195,-4.303660,-9.806994,2025-10-17,0.047974,40.415859,26.25
13:00,0,A100,none,OFF,maker,386,0.051748,0.587108,-0.074958,0.170261,-2.418392,-6.558491,2026-03-27,0.047789,24.284589,0.00
15:00,0,B20,none,1000,maker,386,0.035119,0.309724,-0.052164,0.119894,-1.976511,-3.502467,2026-02-27,0.047758,20.249689,2.33
11:00,0,B15,none,1000,taker,381,0.044454,0.421030,-0.065617,0.144847,-3.081665,-3.762421,2025-11-07,0.047609,24.863476,7.35
11:00,0,A150,none,OFF,taker,381,0.070282,0.772971,-0.105790,0.236998,-3.350681,-9.632604,2026-03-04,0.047508,34.503458,0.00
15:00,0,B30,none,1500,maker,386,0.043447,0.365837,-0.065584,0.148818,-1.976461,-5.896636,2026-02-27,0.047500,26.104424,11.14
15:00,0,A300,none,3000,maker,379,0.045974,0.357882,-0.077322,0.161339,-1.984527,-6.973334,2025-12-29,0.047167,26.701175,27.70
15:00,0,B15,none,OFF,maker,386,0.036455,0.283545,-0.050757,0.121267,-1.617926,-6.624868,2026-02-27,0.047009,21.329029,0.00
